Ma,Muc tieu %,So mau,Trung binh ngay,Trung vi (ngay),Percentile 75,Ti le dat muc tieu trong 20 phien
HAH,3,406,5.82,5,8,68.7
HAH,5,339,7.82,7,11,57.4
HHV,3,314,6.93,6,10,53.1
HHV,5,192,8.72,8,13,32.5
PDR,3,358,6.04,4,9,60.6
PDR,5,277,7.73,7,12,46.9
PNJ,3,359,7.59,6,11,60.7
PNJ,5,241,8.83,8,14,40.8
VPB,3,360,7.15,6,11,60.9
VPB,5,251,9.04,8,14,42.5
HDG,3,365,6.73,5,10,61.8
HDG,5,305,8.65,8,13,51.6
KBC,3,366,6.17,5,8,61.9
KBC,5,286,8.24,7,12,48.4
FTS,3,357,6.41,5,9,60.4
FTS,5,266,7.82,7,12,45.0
NT2,3,324,7.39,6,11,54.8
NT2,5,240,9.79,10,14,40.6
ITA,3,65,5.75,5,7,44.2
ITA,5,58,7.28,6,9,39.5
LAS,3,327,5.76,4,8,55.3
LAS,5,271,7.31,6,11,45.9
ACB,3,313,8.76,8,13,53.0
ACB,5,199,10.18,10,15,33.7
NKG,3,337,6.57,5,10,57.0
NKG,5,255,9.24,9,13,43.1
ELC,3,393,6.77,5,10,66.5
ELC,5,290,9.01,8,14,49.1
POW,3,345,6.65,5,10,58.4
POW,5,280,8.44,8,12,47.4
PLX,3,362,7.46,6,12,61.3
PLX,5,273,8.94,8,13,46.2
SSB,3,271,8.39,7,13,45.9
SSB,5,182,9.36,9,13,30.8
TNG,3,386,6.56,5,9,65.3
TNG,5,309,8.11,8,12,52.3
PVT,3,391,7.26,6,11,66.2
PVT,5,281,9.01,8,14,47.5
GAS,3,295,7.3,6,11,49.9
GAS,5,221,9.0,8,14,37.4
STK,3,259,7.22,6,11,43.9
STK,5,197,8.45,8,12,33.4
AAA,3,330,7.18,6,10,55.8
AAA,5,245,9.23,8,13,41.5
VSC,3,370,5.63,4,8,62.6
VSC,5,296,6.8,6,10,50.1
VCI,3,351,6.43,5,9,59.4
VCI,5,276,8.47,8,12,46.7
VHC,3,366,6.86,5,10,61.9
VHC,5,270,8.8,8,13,45.7
APG,3,268,6.5,5,10,45.3
APG,5,219,8.23,7,13,37.1
VIB,3,322,8.62,8,13,54.5
VIB,5,191,10.01,9,15,32.3
SGT,3,318,7.22,6,11,54.2
SGT,5,238,8.92,8,13,40.5
TCH,3,403,5.95,4,9,68.2
TCH,5,337,7.66,7,11,57.0
IJC,3,362,7.23,6,10,61.3
IJC,5,274,9.85,10,14,46.4
DHA,3,279,7.78,6,12,47.2
DHA,5,209,9.43,9,14,35.4
BCM,3,347,6.93,6,10,58.7
BCM,5,252,8.6,8,13,42.6
CTG,3,382,8.06,7,12,64.6
CTG,5,268,9.53,9,14,45.3
NTP,3,399,6.45,5,9,67.5
NTP,5,312,8.38,8,12,52.8
