Mã,Chiến lược,Điểm V15.3,Regime tốt nhất,T+5 sau phí %,T+5 exit sau phí %,Winrate sau phí %,Volatility20 %,ATR %,Exit reason,Expectancy OK,Winrate OK,ATR OK,Volatility OK,Drawdown Trade OK,Pass Risk Filter,Có dữ liệu giá
GAS,MOMENTUM,50.0,UNKNOWN,-0.58,-0.93,33.8,17.45,5.7,TIME STOP,False,False,True,False,True,False,True
LCG,MOMENTUM,50.0,UNKNOWN,-0.66,-1.01,37.5,2.89,1.49,TIME STOP,False,True,True,True,True,False,True
VIB,MOMENTUM,50.0,UNKNOWN,-0.77,-1.12,41.2,6.05,2.26,TIME STOP,False,True,True,True,True,False,True
MBS,MOMENTUM,50.0,UNKNOWN,-0.93,-1.28,42.5,7.28,3.8,TIME STOP,False,True,True,True,True,False,True
HSG,MOMENTUM,50.0,UNKNOWN,-0.97,-1.32,37.5,6.77,2.41,TIME STOP,False,True,True,True,True,False,True
VTO,MOMENTUM,50.0,UNKNOWN,-1.16,-1.51,33.8,3.6,1.43,TIME STOP,False,False,True,True,True,False,True
PNJ,MOMENTUM,50.0,UNKNOWN,-1.29,-1.64,38.8,6.9,2.52,TIME STOP,False,True,True,True,True,False,True
APH,MOMENTUM,50.0,UNKNOWN,-1.41,-1.76,33.8,4.46,1.66,TIME STOP,False,False,True,True,True,False,True
IJC,MOMENTUM,50.0,UNKNOWN,-1.51,-1.86,31.2,3.56,1.57,TIME STOP,False,False,True,True,True,False,True
KSB,MOMENTUM,50.0,UNKNOWN,-1.55,-1.9,38.8,4.86,1.67,TIME STOP,False,True,True,True,True,False,True
VOS,MOMENTUM,50.0,UNKNOWN,-1.56,-1.91,31.2,6.07,2.69,TIME STOP,False,False,True,True,True,False,True
DRC,MOMENTUM,50.0,UNKNOWN,-1.63,-1.98,36.2,4.27,1.96,TIME STOP,False,True,True,True,True,False,True
VIX,MOMENTUM,50.0,UNKNOWN,-1.67,-2.02,43.8,12.13,4.54,TIME STOP,False,True,True,False,True,False,True
MWG,MOMENTUM,50.0,UNKNOWN,-1.68,-2.03,31.2,7.36,2.86,TIME STOP,False,False,True,True,True,False,True
ELC,MOMENTUM,50.0,UNKNOWN,-2.0,-2.35,26.2,7.3,3.37,TIME STOP,False,False,True,True,True,False,True
CSV,MOMENTUM,50.0,UNKNOWN,-2.28,-2.63,23.8,4.66,2.11,TIME STOP,False,False,True,True,True,False,True
SHS,MOMENTUM,50.0,UNKNOWN,-0.85,-1.2,46.5,8.99,3.53,TIME STOP,False,True,True,True,True,False,True
VPB,MOMENTUM,50.0,UNKNOWN,-1.24,-1.59,28.8,7.78,2.39,TIME STOP,False,False,True,True,True,False,True
BSR,MOMENTUM,50.0,UNKNOWN,-1.76,-2.11,34.9,18.84,6.33,TIME STOP,False,False,True,False,True,False,True
SSB,MOMENTUM,50.0,UNKNOWN,-0.88,-1.23,25.8,6.43,1.87,TIME STOP,False,False,True,True,True,False,True
KDC,MOMENTUM,50.0,UNKNOWN,-1.58,-1.93,11.7,7.91,2.24,TIME STOP,False,False,True,True,True,False,True
OCB,MOMENTUM,50.0,UNKNOWN,-1.29,-1.64,32.1,8.11,2.07,TIME STOP,False,False,True,True,True,False,True
ACB,MOMENTUM,50.0,UNKNOWN,-0.22,-0.57,35.2,8.48,2.12,TIME STOP,False,True,True,True,True,False,True
DHC,MOMENTUM,50.0,UNKNOWN,-0.59,-0.94,32.0,5.83,2.2,TIME STOP,False,False,True,True,True,False,True
PAN,MOMENTUM,50.0,UNKNOWN,-0.45,-0.8,39.6,7.68,2.69,TIME STOP,False,True,True,True,True,False,True
GVR,MOMENTUM,50.0,UNKNOWN,-0.64,-0.99,40.5,15.2,5.12,TIME STOP,False,True,True,False,True,False,True
VHM,MOMENTUM,50.0,UNKNOWN,-0.21,-0.56,36.4,16.15,5.0,TIME STOP,False,True,True,False,True,False,True
