Ma,So phien tang dai nhat,Muc tang tung phien trong chuoi (%),Tong % tang cua chuoi,Trung binh % tang moi phien,Mã,Final Decision,Decision Mode,Meta Allocation %,Meta Exposure,Regime Strength,Equity State,Meta Allocation %_meta,Decision Mode_meta,Nhóm realtime,Ưu tiên,Điểm V15.3 cuối cùng,Kết luận V15.3
TVS,8,"[1.98, 0.22, 2.22, 0.28, 0.28, 0.28, 1.6, 0.48]",7.34,0.92,TVS,WATCHLIST,ĐÁNH RẤT NHỎ,1.682,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,1.682,ĐÁNH RẤT NHỎ,,,65.0,REGIME FIT VỪA
TVS,8,"[1.98, 0.22, 2.22, 0.28, 0.28, 0.28, 1.6, 0.48]",7.34,0.92,TVS,WATCHLIST,ĐÁNH RẤT NHỎ,1.682,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,1.682,ĐÁNH RẤT NHỎ,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
GVR,8,"[2.43, 3.03, 0.67, 1.0, 2.6, 2.21, 0.13, 0.16]",12.23,1.53,GVR,,,0.0,,,,,,,,100.0,REGIME FIT MẠNH
VIB,8,"[0.62, 0.25, 1.48, 0.3, 2.3, 3.08, 0.29, 2.41]",10.73,1.34,VIB,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
CSV,8,"[0.56, 2.23, 2.0, 1.25, 0.53, 0.87, 6.93, 5.02]",19.39,2.42,CSV,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
DPM,8,"[1.15, 1.57, 2.62, 0.18, 1.09, 2.29, 0.44, 2.01]",11.35,1.42,DPM,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
PNJ,8,"[0.52, 0.11, 0.82, 0.22, 1.55, 0.2, 3.95, 1.37]",8.74,1.09,PNJ,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
SSB,8,"[0.25, 0.44, 1.39, 1.8, 1.34, 0.9, 1.49, 2.18]",9.79,1.22,SSB,,,0.0,,,,,,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
BCM,8,"[2.57, 2.32, 0.5, 0.48, 1.46, 1.91, 0.46, 5.74]",15.44,1.93,BCM,,,0.0,,,,,,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
FRT,8,"[0.29, 1.16, 0.57, 2.11, 0.23, 0.77, 2.76, 1.29]",9.18,1.15,FRT,,,0.0,,,,,,,,0.0,
HPG,8,"[1.09, 0.88, 0.63, 1.49, 4.7, 0.18, 1.63, 3.39]",13.99,1.75,HPG,,,0.0,,,,,,,,0.0,
GMD,8,"[0.42, 4.49, 0.66, 0.67, 5.7, 0.25, 1.75, 3.69]",17.63,2.2,GMD,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,
VIB,8,"[0.62, 0.25, 1.48, 0.3, 2.3, 3.08, 0.29, 2.41]",10.73,1.34,VIB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
CSV,8,"[0.56, 2.23, 2.0, 1.25, 0.53, 0.87, 6.93, 5.02]",19.39,2.42,CSV,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
SSB,8,"[0.25, 0.44, 1.39, 1.8, 1.34, 0.9, 1.49, 2.18]",9.79,1.22,SSB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
HAH,8,"[0.77, 0.77, 0.76, 0.52, 0.24, 0.61, 0.75, 1.48]",5.9,0.74,HAH,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,
DPM,8,"[1.15, 1.57, 2.62, 0.18, 1.09, 2.29, 0.44, 2.01]",11.35,1.42,DPM,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
GVR,8,"[2.43, 3.03, 0.67, 1.0, 2.6, 2.21, 0.13, 0.16]",12.23,1.53,GVR,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
BCM,8,"[2.57, 2.32, 0.5, 0.48, 1.46, 1.91, 0.46, 5.74]",15.44,1.93,BCM,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
MSN,8,"[0.27, 0.14, 0.68, 0.27, 1.74, 0.39, 0.26, 0.39]",4.14,0.52,MSN,,,0.0,,,,,,,,0.0,
EIB,8,"[0.58, 0.87, 2.58, 3.63, 1.35, 0.53, 1.59, 0.52]",11.65,1.46,EIB,,,0.0,,,,,,,,0.0,
C32,8,"[6.64, 6.93, 6.85, 6.83, 6.97, 6.82, 6.95, 5.44]",53.43,6.68,C32,,,0.0,,,,,,,,0.0,
STB,8,"[1.74, 0.53, 0.32, 1.69, 2.08, 6.94, 6.87, 4.82]",24.99,3.12,STB,,,0.0,,,,,,,,0.0,
PNJ,8,"[0.52, 0.11, 0.82, 0.22, 1.55, 0.2, 3.95, 1.37]",8.74,1.09,PNJ,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
PC1,8,"[0.68, 0.47, 0.46, 3.54, 1.74, 0.83, 1.5, 2.24]",11.46,1.43,PC1,,,0.0,,,,,,,,0.0,
VRE,8,"[5.28, 2.44, 0.31, 2.2, 4.44, 4.12, 3.8, 1.15]",23.74,2.97,VRE,,,0.0,,,,,,,,0.0,
SCR,8,"[0.92, 0.55, 0.36, 2.7, 3.51, 0.85, 3.87, 1.13]",13.89,1.74,SCR,,,0.0,,,,,,,,0.0,
