Ngày,Mã,Giá,Hành động,Quyết định,Chiến lược,Risk Status,Score gốc,AI Confidence,RS20,RSI,Volume Ratio,ATR %,Dist MA20 %,Lợi TB T+2 %,Lợi TB T+5 %,Điểm V14.1,Điểm trước chặn,Tổng điểm cộng,Tổng điểm trừ,Hạng V14.1,Nhóm ưu tiên V14.1,Lý do cộng điểm,Lý do trừ điểm,Lý do khác biệt,Lý do chặn điểm
2026-05-21,APH,5.56,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,90,93.0,-3.07,32.91,1.27,2.18,-2.2,,,78.0,78.0,54,26,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 90 | +8 AI rất cao 93 | +2 Win lịch sử hơi tốt 55.0% | +2 Volume ổn 1.27 | +4 ADX xu hướng tốt 39.9 | +5 ATR an toàn 2.2,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -5 RSI yếu 32.9,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI yếu 32.9 | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 90 | AI rất cao 93 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,FTS,23.55,BUY NOW,CHá» XÃC NHáº¬N,BOTTOM,PASS,75,74.0,-7.25,55.4,0.84,2.71,-0.51,,,77.0,77.0,48,21,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 75 | +2 Win lịch sử hơi tốt 55.0% | +7 RSI vùng đẹp 55.4 | +4 ADX xu hướng tốt 35.7 | +5 ATR an toàn 2.7 | +3 Bottom mạnh 75,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 75 | Win lịch sử hơi tốt 55.0% | RSI vùng đẹp 55.4,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,SGT,15.0,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,75,82.0,-5.85,35.0,6.37,3.19,-1.53,,,77.0,77.0,53,26,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 75 | +5 AI tốt 82 | +2 Win lịch sử hơi tốt 55.0% | +7 Volume rất mạnh 6.37 | +4 ADX xu hướng tốt 73.6 | +5 ATR an toàn 3.2,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -5 RSI yếu 35.0,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI yếu 35.0 | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 75 | AI tốt 82 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,LPB,53.2,WATCHLIST,THEO DÃI Máº NH,MOMENTUM,PASS,80,100.0,19.13,86.39,2.03,3.74,10.36,,,76.0,76.0,59,33,B+ TỐT,THEO DÕI TỐT,+4 Tín hiệu theo dõi | +12 Risk PASS | +5 Score gốc tốt 80 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +7 RS20 khỏe 19.1 | +7 Volume rất mạnh 2.03 | +4 ADX xu hướng tốt 50.4,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -12 RSI quá nóng 86.4,Bị chặn điểm vì RSI quá nóng | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI quá nóng 86.4 | Tín hiệu theo dõi | Risk PASS | Score gốc tốt 80 | AI rất cao 100 | Win lịch sử hơi tốt 55.0%,Bị chặn điểm vì RSI quá nóng
2026-05-21,VND,16.35,BUY NOW,CHá» XÃC NHáº¬N,BOTTOM,PASS,75,74.0,-5.35,54.9,1.04,3.08,-0.35,,,75.0,75.0,46,21,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 75 | +2 Win lịch sử hơi tốt 55.0% | +7 RSI vùng đẹp 54.9 | +2 Volume ổn 1.04 | +5 ATR an toàn 3.1 | +3 Bottom mạnh 75,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 75 | Win lịch sử hơi tốt 55.0% | RSI vùng đẹp 54.9,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,VIP,11.3,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,80,83.0,-6.26,36.36,1.3,1.14,-1.59,,,75.0,75.0,51,26,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 80 | +5 AI tốt 83 | +2 Win lịch sử hơi tốt 55.0% | +5 Volume mạnh 1.30 | +4 ADX xu hướng tốt 29.7 | +5 ATR an toàn 1.1,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -5 RSI yếu 36.4,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI yếu 36.4 | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 80 | AI tốt 83 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,HDB,25.85,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,90,89.0,-7.16,42.27,0.83,2.47,-3.8,,,74.0,74.0,45,21,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 90 | +5 AI tốt 89 | +2 Win lịch sử hơi tốt 55.0% | +5 ATR an toàn 2.5 | +3 Bottom mạnh 90,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 90 | AI tốt 89 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,DXG,14.55,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,90,89.0,-6.25,39.74,0.92,3.93,-5.47,,,73.0,73.0,49,26,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 90 | +5 AI tốt 89 | +2 Win lịch sử hơi tốt 55.0% | +4 ADX xu hướng tốt 25.1 | +5 ATR an toàn 3.9 | +3 Bottom mạnh 90,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -5 RSI yếu 39.7,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI yếu 39.7 | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 90 | AI tốt 89 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,MSH,35.45,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,90,89.0,-7.05,38.61,0.77,1.49,-0.43,,,73.0,73.0,49,26,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 90 | +5 AI tốt 89 | +2 Win lịch sử hơi tốt 55.0% | +4 ADX xu hướng tốt 26.5 | +5 ATR an toàn 1.5 | +3 Bottom mạnh 90,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -5 RSI yếu 38.6,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI yếu 38.6 | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 90 | AI tốt 89 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,ACB,22.8,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,90,91.0,-8.06,40.28,0.88,1.68,-1.11,,,71.0,71.0,52,31,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 90 | +8 AI rất cao 91 | +2 Win lịch sử hơi tốt 55.0% | +4 ADX xu hướng tốt 46.2 | +5 ATR an toàn 1.7 | +3 Bottom mạnh 90,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -10 RS20 yếu -8.1,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RS20 yếu -8.1 | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 90 | AI rất cao 91 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,CTG,34.95,BUY NOW,CHá» XÃC NHáº¬N,BOTTOM,PASS,75,74.0,-3.68,50.0,0.93,2.42,-1.35,,,70.0,70.0,41,21,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 75 | +2 Win lịch sử hơi tốt 55.0% | +4 ADX xu hướng tốt 40.0 | +5 ATR an toàn 2.4 | +3 Bottom mạnh 75,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 75 | Win lịch sử hơi tốt 55.0% | ADX xu hướng tốt 40.0,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,SCS,51.9,BUY NOW,CHá» XÃC NHáº¬N,BOTTOM,PASS,75,74.0,-7.32,41.67,0.9,1.45,-0.97,,,70.0,70.0,41,21,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 75 | +2 Win lịch sử hơi tốt 55.0% | +4 ADX xu hướng tốt 32.9 | +5 ATR an toàn 1.4 | +3 Bottom mạnh 75,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 75 | Win lịch sử hơi tốt 55.0% | ADX xu hướng tốt 32.9,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,BVB,12.2,BUY NOW,CHá» XÃC NHáº¬N,BOTTOM,PASS,80,69.0,-6.43,41.67,0.72,2.46,-2.63,,,70.0,70.0,41,21,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 80 | +2 Win lịch sử hơi tốt 55.0% | +4 ADX xu hướng tốt 37.7 | +5 ATR an toàn 2.5 | +3 Bottom mạnh 80,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 80 | Win lịch sử hơi tốt 55.0% | ADX xu hướng tốt 37.7,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,VNM,59.0,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,80,79.0,-7.32,34.43,0.84,1.54,-2.73,,,70.0,70.0,46,26,B+ TỐT,THEO DÕI TỐT,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 80 | +5 AI tốt 79 | +2 Win lịch sử hơi tốt 55.0% | +4 ADX xu hướng tốt 30.6 | +5 ATR an toàn 1.5 | +3 Bottom mạnh 80,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -5 RSI yếu 34.4,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI yếu 34.4 | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 80 | AI tốt 79 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,FPT,76.5,WATCHLIST,THEO DÃI Máº NH,MOMENTUM_WATCH,PASS,65,74.0,-3.77,52.72,1.01,2.92,3.71,,,66.0,66.0,37,21,B THEO DÕI,THEO DÕI THẬN TRỌNG,+4 Tín hiệu theo dõi | +12 Risk PASS | +2 Win lịch sử hơi tốt 55.0% | +7 RSI vùng đẹp 52.7 | +2 Volume ổn 1.01 | +5 ATR an toàn 2.9 | +5 Khoảng cách MA20 đẹp 3.7%,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu theo dõi | Risk PASS | Win lịch sử hơi tốt 55.0% | RSI vùng đẹp 52.7 | Volume ổn 1.01,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,VCB,64.9,WAIT,CHá» PULLBACK,MOMENTUM,PASS,85,100.0,4.73,77.42,1.84,2.51,6.12,,,66.0,66.0,50,34,B THEO DÕI,THEO DÕI THẬN TRỌNG,+12 Risk PASS | +8 Score gốc mạnh 85 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 4.7 | +5 Volume mạnh 1.84 | +4 ADX xu hướng tốt 47.6 | +5 ATR an toàn 2.5,-6 Tín hiệu còn chờ | -8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -7 RSI nóng 77.4,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Tín hiệu còn chờ | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI nóng 77.4 | Risk PASS | Score gốc mạnh 85 | AI rất cao 100 | Win lịch sử hơi tốt 55.0% | RS20 dương nhẹ 4.7,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,HPG,26.55,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,90,91.0,-8.23,37.85,0.97,1.74,-1.77,,,66.0,66.0,52,36,B THEO DÕI,THEO DÕI THẬN TRỌNG,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 90 | +8 AI rất cao 91 | +2 Win lịch sử hơi tốt 55.0% | +4 ADX xu hướng tốt 26.1 | +5 ATR an toàn 1.7 | +3 Bottom mạnh 90,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -10 RS20 yếu -8.2 | -5 RSI yếu 37.9,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RS20 yếu -8.2 | RSI yếu 37.9 | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 90 | AI rất cao 91 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-05-21,DHA,49.5,WAIT,CHá» PULLBACK,MOMENTUM,PASS,85,100.0,5.54,82.96,2.46,2.01,7.18,,,66.0,66.0,55,39,B THEO DÕI,THEO DÕI THẬN TRỌNG,+12 Risk PASS | +8 Score gốc mạnh 85 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +4 RS20 dương tốt 5.5 | +7 Volume rất mạnh 2.46 | +4 ADX xu hướng tốt 33.4 | +5 ATR an toàn 2.0,-6 Tín hiệu còn chờ | -8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -12 RSI quá nóng 83.0,Bị chặn điểm vì RSI quá nóng | Tín hiệu còn chờ | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | RSI quá nóng 83.0 | Risk PASS | Score gốc mạnh 85 | AI rất cao 100 | Win lịch sử hơi tốt 55.0% | RS20 dương tốt 5.5,Bị chặn điểm vì RSI quá nóng
2026-05-21,HSG,12.2,BUY NOW,CHá» XÃC NHáº¬N,BOTTOM,PASS,75,74.0,-5.18,48.65,0.78,2.28,-0.39,,,63.0,63.0,37,24,B THEO DÕI,THEO DÕI THẬN TRỌNG,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 75 | +2 Win lịch sử hơi tốt 55.0% | +5 ATR an toàn 2.3 | +3 Bottom mạnh 75,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít | -3 ADX yếu 14.2,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | ADX yếu 14.2 | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 75 | Win lịch sử hơi tốt 55.0% | ATR an toàn 2.3,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
