symbol,signal_date,entry_date,signal,family,variant,quality_score,regime,regime_score,close_signal_day,entry_price,raw_entry_open,volume_ratio,rs20,ret5,ret20,rsi14,dist_ma20_pct,drawdown20_pct,atr_pct,min_exit_hold_bars,core_reasons,quality_reasons,ret_t1_pct,ret_t2_pct,ret_t3_pct,ret_t5_pct,ret_t10_pct,max_favorable_t5_pct,max_drawdown_t5_pct,sellable_date_tplus,ret_sellable_tplus_pct,result_t5
DBC,2024-10-01,2024-10-02,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,79.058,TĂNG MẠNH,100.0,25.64,25.678,25.64,1.581,3.073,-0.812,3.722,54.769,0.85,-3.573,2.084,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 0.85% | Volume vừa đủ, không FOMO: 1.58x | RS20 mạnh: 3.07 | Không tăng nóng: ret5=-0.81%, ret20=3.72% | Drawdown 20 phiên không quá sâu: -3.57%",-2.163,-2.67,-1.813,1.887,1.069,1.587,-3.02,2024-10-07,-1.813,WIN
EIB,2024-10-17,2024-10-18,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,85.114,TĂNG MẠNH,80.0,18.8,18.928,18.9,1.732,8.421,-0.265,9.621,53.086,1.897,-4.81,2.717,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.90% | Volume vừa đủ, không FOMO: 1.73x | RS20 mạnh: 8.42 | Không tăng nóng: ret5=-0.27%, ret20=9.62% | Drawdown 20 phiên không quá sâu: -4.81%",9.588,13.815,13.815,9.852,3.513,16.156,-0.978,2024-10-23,13.815,WIN
VIB,2024-10-18,2024-10-21,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,84.531,TÍCH CỰC,70.0,15.62,15.563,15.54,2.115,4.628,2.092,5.683,55.556,1.297,-2.497,1.811,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 1.30% | Volume vừa đủ, không FOMO: 2.12x | RS20 mạnh: 4.63 | Không tăng nóng: ret5=2.09%, ret20=5.68% | Drawdown 20 phiên không quá sâu: -2.50%",-3.791,-4.048,-5.076,-6.361,-5.076,-0.236,-6.618,2024-10-24,-5.076,FAIL
BVB,2024-10-18,2024-10-21,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,84.173,TÍCH CỰC,70.0,11.76,11.677,11.66,2.252,4.227,0.858,5.282,56.25,1.942,-2.407,2.727,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 1.94% | Volume vừa đủ, không FOMO: 2.25x | RS20 mạnh: 4.23 | Không tăng nóng: ret5=0.86%, ret20=5.28% | Drawdown 20 phiên không quá sâu: -2.41%",-2.162,-1.306,-3.79,-2.933,-4.646,0.877,-5.502,2024-10-24,-3.79,FAIL
VPG,2024-10-18,2024-10-21,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,82.144,TÍCH CỰC,70.0,13.8,13.871,13.85,1.859,4.289,0.73,5.344,47.368,1.247,-2.817,2.847,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 1.25% | Volume vừa đủ, không FOMO: 1.86x | RS20 mạnh: 4.29 | Không tăng nóng: ret5=0.73%, ret20=5.34% | Drawdown 20 phiên không quá sâu: -2.82%",-1.171,-1.892,-4.415,-7.299,-7.659,-0.389,-7.659,2024-10-24,-4.415,FAIL
ELC,2024-11-29,2024-12-02,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,77.298,BÌNH THƯỜNG,45.0,21.89,22.053,22.02,1.244,4.74,3.941,4.387,47.792,1.564,-3.696,2.712,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: BÌNH THƯỜNG | Giá không quá xa MA20: 1.56% | Volume vừa đủ, không FOMO: 1.24x | RS20 mạnh: 4.74 | Không tăng nóng: ret5=3.94%, ret20=4.39% | Drawdown 20 phiên không quá sâu: -3.70%",1.228,-1.402,1.636,0.502,2.362,1.517,-2.944,2024-12-05,1.636,FLAT
VHC,2024-12-03,2024-12-04,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,75.433,TÍCH CỰC,65.0,69.27,69.654,69.55,1.158,3.48,2.228,3.806,48.529,1.338,-3.403,2.579,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TÍCH CỰC | Giá không quá xa MA20: 1.34% | Volume vừa đủ, không FOMO: 1.16x | RS20 mạnh: 3.48 | Không tăng nóng: ret5=2.23%, ret20=3.81% | Drawdown 20 phiên không quá sâu: -3.40%",1.675,0.57,2.091,2.508,2.235,3.873,-7.729,2024-12-09,2.091,WIN
MSH,2024-12-05,2024-12-06,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,80.012,TĂNG MẠNH,75.0,29.41,29.424,29.38,1.235,6.875,0.204,7.493,53.861,1.414,-4.853,2.744,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.41% | Volume vừa đủ, không FOMO: 1.24x | RS20 mạnh: 6.88 | Không tăng nóng: ret5=0.20%, ret20=7.49% | Drawdown 20 phiên không quá sâu: -4.85%",2.507,1.487,2.303,5.77,7.605,8.528,-0.552,2024-12-11,2.303,WIN
HCM,2024-12-30,2024-12-31,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,75.429,TĂNG MẠNH,80.0,22.5,22.424,22.39,1.114,3.872,1.351,5.535,50.917,1.42,-2.174,1.933,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.42% | Volume vừa đủ, không FOMO: 1.11x | RS20 mạnh: 3.87 | Không tăng nóng: ret5=1.35%, ret20=5.53% | Drawdown 20 phiên không quá sâu: -2.17%",-0.985,-3.527,-4.865,-4.017,-5.712,0.098,-5.712,2025-01-06,-4.865,FAIL
SBT,2024-12-31,2025-01-02,PULLBACK_MA20_QUALITY,PULLBACK_QUALITY,MA20_FILTERED,81.463,TĂNG MẠNH,80.0,11.22,11.237,11.22,1.911,4.294,2.279,5.65,66.667,1.986,0.358,1.623,3,Gần MA20 | MA20 >= MA50 | Giá hồi + RSI >= 45,"Regime chấp nhận: TĂNG MẠNH | Giá không quá xa MA20: 1.99% | Volume vừa đủ, không FOMO: 1.91x | RS20 mạnh: 4.29 | Không tăng nóng: ret5=2.28%, ret20=5.65% | Drawdown 20 phiên không quá sâu: 0.36%",-4.632,-7.658,-7.658,-4.187,-0.45,-0.75,-9.171,2025-01-07,-7.658,FAIL
